calorias,carbohidratos,lipidos,proteina,sodio
183,2,164,41,6.5
65,11,0,2,122
180,43,0,3,0
170,15,0,20,0
133,3,0,6,87
147,25,0.02,4,18.8
112,25.8,0,1.7,2
323,29.2,0,12,7
133,3,0,6,87
172,27,0.02,5.8,282
112,25.8,0,1.7,2
130,7,0,20,300
200,0,0,47,0
15,3,0,1.3,14.5
440,25,40,10,450
163,20.7,0,10,0
112,25.8,0,1.7,2
276,0,88,26,400
105,27,0,1.3,0
78,0.6,0,6.3,0
47,5,0.02,2,8.8
112,25.8,0,1.7,2
204,0,0,36,0.87
200,65,0,5,0
163,20.7,0,10,0
112,25.8,0,1.7,2
130,7,0,20,300
290,39,0,7,1.19
163,20.7,0,10,0
218,50,0,1,0
495,40,0,27,0
0,0,0,0,15
110,27,0,1,0.12
172,27,0.02,5.8,282
130,7,0,20,300
286,17,0,25.8,1500
133,3,0,6,87
218,50,0,1,0
250,22,237,2,0
163,20.7,0,10,0
112,25.8,0,1.7,2
180,43,0,3,0
286,21,0,21,0
187,0,0,4,0
147,25,0.02,4,18.8
112,25.8,0,1.7,2
105,27,0,1.3,0
180,43,0,3,0
335,35,0,15,0
183,2,164,41,6.5
112,25.8,0,1.7,2
130,7,0,20,300
218,50,0,1,0
133,3,0,6,87
136,23.5,0,6,376
180,43,0,3,0
276,0,88,25.35,400
30,5,0,1.8,0
204,0,0,36,0.87
119,0.5,0,21,0
112,25.8,0,1.7,2
336,45.43,49,20.52,500
69,18,0,0.8,5
170,4,0,7,153
187,0,0,4,0
112,25.8,0,1.7,2
180,43,0,3,0
187,0,0,4,0
47,5,0.02,2,8.8
286,17,0,25.8,1500
37,2.2,0,0,0.2
205,15,317,11.3,215
65,11,0,2,122
180,43,0,3,0
176,19,0,7,0
140,1.5,189,6.1,77
54,3.4,0,3,0
286,17,0,25.8,1500
180,43,0,3,0
133,3,0,6,87
104,28,0,0.5,2
112,25.8,0,1.7,2
130,7,0,20,300
150,8,0,12,0
187,0,0,4,0
555,41,113,44,1033
242,21.66,0,16,441
440,25,40,10,450
105,27,0,1.3,0
136,23.5,0,6,376
27,4.7,0,1.8,0.1
250,26,27,10,246
192,4,51,22,497
178,0.9,410,13.6,468
205,15,317,11.3,215
47,5,0.02,2,8.8
136,23.5,0,6,376
335,35,0,15,0
336,45.43,49,20.52,500
163,20.7,0,10,0
180,43,0,3,0
204,0,0,36,0.87
37,2.2,0,0,0.2
218,50,0,1,0
187,0,0,4,0
180,43,0,3,0
147,0,0,17,293
163,20.7,0,10,0
205,15,317,11.3,215
178,0.86,410,14,468
174,13,0,9.2,28
172,27,0.02,5.8,282
187,0,0,4,0
200,29,15,9,250
136,23.5,0,6,376
252,0,27.3,82,373
147,2.2,0,18,0
163,20.7,0,10,0
112,25.8,0,1.7,2
204,0,0,36,0.87
133,3,0,6,87
183,2,164,41,6.5
47,5,0.02,2,8.8
112,25.8,0,1.7,2
180,43,0,3,0
286,17,0,25.8,1500
163,20.7,0,10,0
147,25,0.02,4,18.8
112,25.8,0,1.7,2
336,45.43,49,20.52,500
200,0,0,47,0
37,2.2,0,0,0.2
218,50,0,1,0
151,4,0,9,770
90,2,0,9,0
112,25.8,0,1.7,2
200,29,15,9,250
133,3,0,6,87
163,20.7,0,10,0
172,27,0.02,5.8,282
112,25.8,0,1.7,2
335,35,0,15,0
365,33,60,22,882
105,27,0,1.3,0
187,0,0,4,0
150,8,0,12,0
204,0,0,36,0.87
130,7,0,20,300
136,23.5,0,6,376
112,25.8,0,1.7,2
48,7,4.5,1,15
133,3,0,6,87
400,1,59,16,396
163,20.7,0,10,0
495,40,0,27,0
78,0.6,0,6.3,0
47,5,0.02,2,8.8
112,25.8,0,1.7,2
335,35,0,15,0
163,20.7,0,10,0
136,23.5,0,6,376
180,43,0,3,0
204,0,0,36,0.87
37,2.2,0,0,0.2
187,0,0,4,0
200,0,0,47,0
27,4.7,0,1.8,0.1
180,43,0,3,0
163,20.7,0,10,0
187,0,0,4,0
180,43,0,3,0
204,0,0,36,0.87
37,2.2,0,0,0.2
105,27,0,1.3,0
140,1.5,189,6.1,77
130,7,0,20,300
180,43,0,3,0
204,0,0,36,0.87
250,22,237,2,0
163,20.7,0,10,0
112,25.8,0,1.7,2
180,43,0,3,0
286,21,0,21,0
187,0,0,4,0
163,20.7,0,10,0
112,25.8,0,1.7,2
204,0,0,36,0.87
133,3,0,6,87
147,25,0.02,4,18.8
112,25.8,0,1.7,2
105,27,0,1.3,0
180,43,0,3,0
335,35,0,15,0
147,25,0.02,4,18.8
112,25.8,0,1.7,2
105,27,0,1.3,0
180,43,0,3,0
335,35,0,15,0
136,23.5,0,6,376
323,29.2,0,12,7
163,20.7,0,10,0
163,20.7,0,10,0
180,43,0,3,0
204,0,0,36,0.87
37,2.2,0,0,0.2
183,2,164,41,6.5
112,25.8,0,1.7,2
130,7,0,20,300
218,50,0,1,0
133,3,0,6,87
163,20.7,0,10,0
495,40,0,27,0
0,0,0,0,15
110,27,0,1,0.12
112,25.8,0,1.7,2
180,43,0,3,0
286,21,0,21,0
187,0,0,4,0
172,27,0.02,5.8,282
112,25.8,0,1.7,2
130,7,0,20,300
200,0,0,47,0
15,3,0,1.3,14.5
440,25,40,10,450
163,20.7,0,10,0
112,25.8,0,1.7,2
276,0,88,26,400
105,27,0,1.3,0
187,0,0,4,0
150,8,0,12,0
204,0,0,36,0.87
130,7,0,20,300
151,4,0,9,770
90,2,0,9,0
112,25.8,0,1.7,2
200,29,15,9,250
133,3,0,6,87
163,20.7,0,10,0
147,25,0.02,4,18.8
200,0,0,47,0
27,4.7,0,1.8,0.1
37,2.2,0,0,0.2
78,0.6,0,6.3,0
47,5,0.02,2,8.8
112,25.8,0,1.7,2
335,35,0,15,0
163,20.7,0,10,0
136,23.5,0,6,376
180,43,0,3,0
204,0,0,36,0.87
37,2.2,0,0,0.2
400,1,59,16,396
163,20.7,0,10,0
495,40,0,27,0